beta0 beta1 loggap
-0.60625 -0.55 0.3116903343
-0.60625 -0.5 0.2965792502
-0.60625 -0.45 0.2813289979
-0.60625 -0.4 0.2658424143
-0.60625 -0.35 0.2499995888
-0.60625 -0.3 0.2336610682
-0.60625 -0.25 0.216671111
-0.60625 -0.2 0.1988604708
-0.60625 -0.15 0.1800493237
-0.60625 -0.1 0.1600519198
-0.60625 -0.05 0.1386844107
-0.60625 0 0.1157757554
-0.60625 0.05 0.09117942031
-0.60625 0.1 0.06478230357
-0.60625 0.15 0.03650812779
-0.60625 0.2 0.006315203604
-0.60625 0.25 -0.02580869196
-0.60625 0.3 -0.05985038964
-0.60625 0.35 -0.09577151443
-0.60625 0.4 -0.1335044371
-0.60625 0.45 -0.1729458992
-0.60625 0.5 -0.2139509977
-0.60625 0.55 -0.2563293895
-0.60625 0.6 -0.2998440041
-0.60625 0.65 -0.3442112883
-0.60625 0.7 -0.3891016068
-0.60625 0.75 -0.4341388436
-0.60625 0.8 -0.4788991038
-0.60625 0.85 -0.5229093536
-0.60625 0.9 -0.5656476465
-0.60625 0.95 -0.6065471443
-0.60625 1 -0.6450063523
-0.60625 1.05 -0.680407656
-0.60625 1.1 -0.7121451728
-0.60625 1.15 -0.7396610125
-0.60625 1.2 -0.7624864862
-0.60625 1.25 -0.7802822947
-0.60625 1.3 -0.7928702996
-0.60625 1.35 -0.8002500908
-0.60625 1.4 -0.8025964363
-0.60625 1.45 -0.80023802
-0.60625 1.5 -0.7936220322
-0.60625 1.55 -0.7832716859
-0.60625 1.6 -0.769743946
-0.60625 1.65 -0.7535930868
-0.60625 1.7 -0.735343155
-0.60625 1.75 -0.7154700093
-0.60625 1.8 -0.6943919159
-0.60625 1.85 -0.672466828
-0.60625 1.9 -0.6499943071
-0.60625 1.95 -0.6272202708
-0.60625 2 -0.6043431632
-0.55 -2 0.6892843501
-0.55 -1.95 0.6787710904
-0.55 -1.9 0.6680372389
-0.55 -1.85 0.6570761622
-0.55 -1.8 0.6458812668
-0.55 -1.75 0.634446074
-0.55 -1.7 0.6227643124
-0.55 -1.65 0.6108300318
-0.55 -1.6 0.5986377407
-0.55 -1.55 0.5861825727
-0.55 -1.5 0.5734604834
-0.55 -1.45 0.5604684828
-0.55 -1.4 0.5472049048
-0.55 -1.35 0.5336697146
-0.55 -1.3 0.5198648535
-0.55 -1.25 0.5057946136
-0.55 -1.2 0.4914660309
-0.55 -1.15 0.4768892755
-0.55 -1.1 0.4620780039
-0.55 -1.05 0.4470496216
-0.55 -1 0.4318253832
-0.55 -0.95 0.4164302308
-0.55 -0.9 0.4008922463
-0.55 -0.85 0.3852415713
-0.55 -0.8 0.3695086433
-0.55 -0.75 0.3537216219
-0.55 -0.7 0.3379029575
-0.55 -0.65 0.3220651999
-0.55 -0.6 0.3062063663
-0.55 -0.55 0.2903054413
-0.55 -0.5 0.2743187886
-0.55 -0.45 0.2581782559
-0.55 -0.4 0.2417914285
-0.55 -0.35 0.2250438385
-0.55 -0.3 0.2078022293
-0.55 -0.25 0.1899177071
-0.55 -0.2 0.1712281634
-0.55 -0.15 0.1515605744
-0.55 -0.1 0.1307348774
-0.55 -0.05 0.1085710557
-0.55 0 0.08489948412
-0.55 0.05 0.05957226484
-0.55 0.1 0.03247187841
-0.55 0.15 0.003514286227
-0.55 0.2 -0.02735358471
-0.55 0.25 -0.06015904033
-0.55 0.3 -0.09490732368
-0.55 0.35 -0.1315808539
-0.55 0.4 -0.1701337314
-0.55 0.45 -0.210483665
-0.55 0.5 -0.2525042858
-0.55 0.55 -0.2960198736
-0.55 0.6 -0.340802779
-0.55 0.65 -0.3865724209
-0.55 0.7 -0.432994292
-0.55 0.75 -0.4796778686
-0.55 0.8 -0.5261732984
-0.55 0.85 -0.5719678709
-0.55 0.9 -0.6164843241
-0.55 0.95 -0.6590838899
-0.55 1 -0.6990774351
-0.55 1.05 -0.7357478105
-0.55 1.1 -0.7683851701
-0.55 1.15 -0.7963343016
-0.55 1.2 -0.8190491799
-0.55 1.25 -0.8361460688
-0.55 1.3 -0.8474443274
-0.55 1.35 -0.8529852277
-0.55 1.4 -0.8530238542
