alpha beta logL
-0.5 -1 1.062955971
-0.4583333333 -1 1.06520781
-0.4166666667 -1 1.067356536
-0.375 -1 1.069394375
-0.3333333333 -1 1.071314429
-0.2916666667 -1 1.073110613
-0.25 -1 1.074777595
-0.2083333333 -1 1.076310744
-0.1666666667 -1 1.077706078
-0.125 -1 1.078960225
-0.08333333333 -1 1.080070383
-0.04166666667 -1 1.081034285
0 -1 1.081850169
0.04166666667 -1 1.082516758
0.08333333333 -1 1.083033236
0.125 -1 1.083399234
0.1666666667 -1 1.083614819
0.2083333333 -1 1.083680486
0.25 -1 1.083597156
0.2916666667 -1 1.083366179
0.3333333333 -1 1.082989336
0.375 -1 1.08246885
0.4166666667 -1 1.081807399
0.4583333333 -1 1.081008137
0.5 -1 1.080074709
0.5416666667 -1 1.079011283
0.5833333333 -1 1.077822576
0.625 -1 1.076513889
0.6666666667 -1 1.075091145
0.7083333333 -1 1.073560929
0.75 -1 1.071930537
0.7916666667 -1 1.070208023
0.8333333333 -1 1.068402251
0.875 -1 1.066522956
0.9166666667 -1 1.064580797
0.9583333333 -1 1.062587426
1 -1 1.060555546
1.041666667 -1 1.058498978
1.083333333 -1 1.056432729
1.125 -1 1.054373053
1.166666667 -1 1.052337515
1.208333333 -1 1.050345049
1.25 -1 1.048416013
-1.25 -0.9583333333 0.987901478
-1.208333333 -0.9583333333 0.9889082452
-1.166666667 -0.9583333333 0.9902171522
-1.125 -0.9583333333 0.9917905186
-1.083333333 -0.9583333333 0.9935924776
-1.041666667 -0.9583333333 0.9955890771
-1 -0.9583333333 0.9977483396
-0.9583333333 -0.9583333333 1.000040288
-0.9166666667 -0.9583333333 1.00243694
-0.875 -0.9583333333 1.004912284
-0.8333333333 -0.9583333333 1.007442228
-0.7916666667 -0.9583333333 1.010004535
-0.75 -0.9583333333 1.012578757
-0.7083333333 -0.9583333333 1.015146142
-0.6666666667 -0.9583333333 1.017689554
-0.625 -0.9583333333 1.02019338
-0.5833333333 -0.9583333333 1.022643437
-0.5416666667 -0.9583333333 1.025026885
-0.5 -0.9583333333 1.027332137
-0.4583333333 -0.9583333333 1.02954877
-0.4166666667 -0.9583333333 1.03166745
-0.375 -0.9583333333 1.033679848
-0.3333333333 -0.9583333333 1.035578574
-0.2916666667 -0.9583333333 1.037357104
-0.25 -0.9583333333 1.039009721
-0.2083333333 -0.9583333333 1.040531458
-0.1666666667 -0.9583333333 1.041918046
-0.125 -0.9583333333 1.043165866
-0.08333333333 -0.9583333333 1.044271911
-0.04166666667 -0.9583333333 1.045233749
0 -0.9583333333 1.046049491
0.04166666667 -0.9583333333 1.046717765
0.08333333333 -0.9583333333 1.047237697
0.125 -0.9583333333 1.047608892
0.1666666667 -0.9583333333 1.047831422
0.2083333333 -0.9583333333 1.047905819
0.25 -0.9583333333 1.047833075
0.2916666667 -0.9583333333 1.047614637
0.3333333333 -0.9583333333 1.047252418
0.375 -0.9583333333 1.046748805
0.4166666667 -0.9583333333 1.046106672
0.4583333333 -0.9583333333 1.045329402
0.5 -0.9583333333 1.044420906
0.5416666667 -0.9583333333 1.043385652
0.5833333333 -0.9583333333 1.042228696
0.625 -0.9583333333 1.040955719
0.6666666667 -0.9583333333 1.039573063
0.7083333333 -0.9583333333 1.038087778
0.75 -0.9583333333 1.036507671
0.7916666667 -0.9583333333 1.034841352
0.8333333333 -0.9583333333 1.033098295
0.875 -0.9583333333 1.031288894
0.9166666667 -0.9583333333 1.029424525
0.9583333333 -0.9583333333 1.027517608
1 -0.9583333333 1.025581674
1.041666667 -0.9583333333 1.023631428
1.083333333 -0.9583333333 1.021682818
1.125 -0.9583333333 1.019753098
1.166666667 -0.9583333333 1.017860883
1.208333333 -0.9583333333 1.016026214
1.25 -0.9583333333 1.014270598
-1.25 -0.9166666667 0.9535806815
-1.208333333 -0.9166666667 0.9542412521
-1.166666667 -0.9166666667 0.9552340135
-1.125 -0.9166666667 0.9565196435
-1.083333333 -0.9166666667 0.9580605716
-1.041666667 -0.9166666667 0.9598211129
-1 -0.9166666667 0.9617675565
-0.9583333333 -0.9166666667 0.9638682149
-0.9166666667 -0.9166666667 0.9660934401
-0.875 -0.9166666667 0.9684156101
-0.8333333333 -0.9166666667 0.9708090935
-0.7916666667 -0.9166666667 0.9732501952
-0.75 -0.9166666667 0.9757170875
-0.7083333333 -0.9166666667 0.9781897312
-0.6666666667 -0.9166666667 0.9806497898
-0.625 -0.9166666667 0.9830805386
-0.5833333333 -0.9166666667 0.9854667722
-0.5416666667 -0.9166666667 0.9877947113
-0.5 -0.9166666667 0.990051912
-0.4583333333 -0.9166666667 0.9922271759
-0.4166666667 -0.9166666667 0.9943104656
-0.375 -0.9166666667 0.9962928229
-0.3333333333 -0.9166666667 0.9981662931
-0.2916666667 -0.9166666667 0.999923853
-0.25 -0.9166666667 1.001559346
-0.2083333333 -0.9166666667 1.003067419
-0.1666666667 -0.9166666667 1.004443474
-0.125 -0.9166666667 1.00568361
-0.08333333333 -0.9166666667 1.006784585
-0.04166666667 -0.9166666667 1.007743777
0 -0.9166666667 1.00855915
0.04166666667 -0.9166666667 1.009229224
0.08333333333 -0.9166666667 1.009753056
0.125 -0.9166666667 1.010130221
0.1666666667 -0.9166666667 1.010360796
0.2083333333 -0.9166666667 1.010445356
0.25 -0.9166666667 1.010384969
0.2916666667 -0.9166666667 1.010181197
0.3333333333 -0.9166666667 1.0098361
0.375 -0.9166666667 1.009352253
0.4166666667 -0.9166666667 1.008732751
0.4583333333 -0.9166666667 1.00798124
0.5 -0.9166666667 1.007101931
0.5416666667 -0.9166666667 1.006099635
0.5833333333 -0.9166666667 1.004979794
0.625 -0.9166666667 1.003748517
0.6666666667 -0.9166666667 1.002412625
0.7083333333 -0.9166666667 1.000979695
0.75 -0.9166666667 0.99945811
0.7916666667 -0.9166666667 0.9978571127
0.8333333333 -0.9166666667 0.9961868642
0.875 -0.9166666667 0.9944585033
0.9166666667 -0.9166666667 0.9926842095
0.9583333333 -0.9166666667 0.9908772686
1 -0.9166666667 0.9890521376
1.041666667 -0.9166666667 0.9872245115
1.083333333 -0.9166666667 0.9854113872
1.125 -0.9166666667 0.9836311257
1.166666667 -0.9166666667 0.9819035092
1.208333333 -0.9166666667 0.9802497918
1.25 -0.9166666667 0.9786927415
-1.25 -0.875 0.917907343
