alpha beta logL
0.9583333333 -0.9583333333 1.783804774
1 -0.9583333333 1.78378718
1.041666667 -0.9583333333 1.783772459
1.083333333 -0.9583333333 1.783761352
1.125 -0.9583333333 1.783754691
1.166666667 -0.9583333333 1.783753408
1.208333333 -0.9583333333 1.783758542
1.25 -0.9583333333 1.783771248
-1.25 -0.9166666667 1.752321976
-1.208333333 -0.9166666667 1.752300381
-1.166666667 -0.9166666667 1.752288823
-1.125 -0.9166666667 1.752285794
-1.083333333 -0.9166666667 1.752289932
-1.041666667 -0.9166666667 1.75230001
-1 -0.9166666667 1.75231493
-0.9583333333 -0.9166666667 1.752333711
-0.9166666667 -0.9166666667 1.752355482
-0.875 -0.9166666667 1.752379473
-0.8333333333 -0.9166666667 1.752405007
-0.7916666667 -0.9166666667 1.752431492
-0.75 -0.9166666667 1.752458416
-0.7083333333 -0.9166666667 1.752485336
-0.6666666667 -0.9166666667 1.752511875
-0.625 -0.9166666667 1.752537712
-0.5833333333 -0.9166666667 1.75256258
-0.5416666667 -0.9166666667 1.752586258
-0.5 -0.9166666667 1.752608564
-0.4583333333 -0.9166666667 1.752629354
-0.4166666667 -0.9166666667 1.752648516
-0.375 -0.9166666667 1.752665962
-0.3333333333 -0.9166666667 1.752681631
-0.2916666667 -0.9166666667 1.752695477
-0.25 -0.9166666667 1.752707473
-0.2083333333 -0.9166666667 1.752717606
-0.1666666667 -0.9166666667 1.752725871
-0.125 -0.9166666667 1.752732274
-0.08333333333 -0.9166666667 1.752736824
-0.04166666667 -0.9166666667 1.752739538
0 -0.9166666667 1.752740436
0.04166666667 -0.9166666667 1.75273954
0.08333333333 -0.9166666667 1.752736874
0.125 -0.9166666667 1.752732465
0.1666666667 -0.9166666667 1.752726341
0.2083333333 -0.9166666667 1.752718534
0.25 -0.9166666667 1.752709077
0.2916666667 -0.9166666667 1.752698011
0.3333333333 -0.9166666667 1.752685378
0.375 -0.9166666667 1.752671234
0.4166666667 -0.9166666667 1.752655639
0.4583333333 -0.9166666667 1.75263867
0.5 -0.9166666667 1.752620417
0.5416666667 -0.9166666667 1.752600988
0.5833333333 -0.9166666667 1.752580516
0.625 -0.9166666667 1.752559158
0.6666666667 -0.9166666667 1.7525371
0.7083333333 -0.9166666667 1.752514564
0.75 -0.9166666667 1.752491813
0.7916666667 -0.9166666667 1.752469152
0.8333333333 -0.9166666667 1.752446939
0.875 -0.9166666667 1.752425587
0.9166666667 -0.9166666667 1.752405571
0.9583333333 -0.9166666667 1.752387437
1 -0.9166666667 1.752371805
1.041666667 -0.9166666667 1.752359382
1.083333333 -0.9166666667 1.752350961
1.125 -0.9166666667 1.752347437
1.166666667 -0.9166666667 1.752349812
1.208333333 -0.9166666667 1.752359202
1.25 -0.9166666667 1.75237685
-1.25 -0.875 1.718765659
-1.208333333 -0.875 1.718738376
-1.166666667 -0.875 1.718721973
-1.125 -0.875 1.718714833
-1.083333333 -0.875 1.718715496
-1.041666667 -0.875 1.718722649
